dept,division,code,name,last_name,first_name,term,year,item1,item2,item3,item4,item5,item6,enthusiasm,workload,recommend,invited,respondents,course
ANT,ARTSC,ANT100Y1,Intro Anthropology,Friesen,T,Winter,2018,3.7,3.9,3.4,3.5,3.5,3.4,3.4,2.8,3.6,743.0,221,Intro Anthropology ANT100Y1-Y-LEC5101
ANT,ARTSC,ANT100Y1,Intro Anthropology,Kalmar,Ivan,Winter,2018,3.7,3.9,4.1,3.5,3.5,3.4,4.1,2.8,3.6,743.0,221,Intro Anthropology ANT100Y1-Y-LEC5101
ANT,ARTSC,ANT100Y1,Intro Anthropology,Lehman,Shawn,Winter,2018,3.7,3.9,4.4,3.5,3.5,3.4,4.4,2.8,3.6,743.0,221,Intro Anthropology ANT100Y1-Y-LEC5101
ANT,ARTSC,ANT200Y1,Intro Archaeology,Patton,Anna,Winter,2018,3.9,4.2,4.1,3.8,3.9,3.7,4.2,3.2,3.8,125.0,41,Intro Archaeology ANT200Y1-Y-LEC0101
ANT,ARTSC,ANT203Y1,Nature of Humans,Viola,T.,Winter,2018,4.0,4.2,3.7,3.7,3.6,3.6,4.0,2.9,3.6,117.0,41,Nature of Humans ANT203Y1-Y-LEC5101
ANT,ARTSC,ANT327H1,Diversity,Davidson,Lisa,Winter,2018,4.4,4.6,4.4,4.3,4.6,3.9,4.4,3.4,4.1,27.0,23,Diversity ANT327H1-S-LEC0101
ANT,ARTSC,ANT335Y1,Human Evolution,Eastham,Laura,Winter,2018,4.7,4.8,4.9,4.6,4.5,4.7,4.9,2.9,4.6,32.0,28,Human Evolution ANT335Y1-Y-LEC0101
ANT,ARTSC,ANT336H1,Evol Anth Theory,Viola,T.,Winter,2018,4.2,4.2,4.6,4.3,4.2,4.2,4.7,3.3,4.2,32.0,12,Evol Anth Theory ANT336H1-S-LEC0101
ANT,ARTSC,ANT341H1,China in Transition,Sung,Wen-Ching,Winter,2018,4.1,4.5,4.5,4.3,4.4,4.4,4.4,3.1,4.4,29.0,21,China in Transition ANT341H1-S-LEC0101
ANT,ARTSC,ANT343H1,Social Ant of Gender,Dave,Prakruti,Winter,2018,4.6,4.7,4.3,4.1,4.1,4.1,4.7,3.8,4.4,45.0,14,Social Ant of Gender ANT343H1-S-LEC5101
ANT,ARTSC,ANT366H1,Anthropology of Activism,Song,Jesook,Winter,2018,3.6,3.4,3.4,3.1,3.2,2.9,3.6,3.1,2.6,43.0,14,Anthropology of Activism ANT366H1-S-LEC0101
ANT,ARTSC,ANT371H1,Human Nutrition Ecol,Bolt,Laura,Winter,2018,3.8,4.0,3.7,3.6,3.6,3.4,3.8,3.1,3.8,52.0,22,Human Nutrition Ecol ANT371H1-S-LEC0101
ANT,ARTSC,ANT380H1,Craft Soc Cult Ant,Sammons,Edward,Winter,2018,4.4,4.3,4.7,4.3,4.6,4.3,4.9,4.2,4.3,25.0,10,Craft Soc Cult Ant ANT380H1-S-LEC0101
ANT,ARTSC,ANT425H1,Lang in Ant Thought,Luong,Hy,Winter,2018,4.8,4.2,4.4,4.4,4.4,4.2,4.6,3.6,4.0,22.0,6,Lang in Ant Thought ANT425H1-S-LEC0101
ANT,ARTSC,ANT436H1,Prim Ecol and Soc. Behavior,Lehman,Shawn,Winter,2018,4.1,4.3,4.5,3.9,3.9,4.1,4.6,2.5,4.2,22.0,10,Prim Ecol and Soc. Behavior ANT436H1-S-LEC0101
ANT,ARTSC,ANT457H1,Ant of Material Cult,Forni,Silvia,Winter,2018,4.0,3.8,4.2,3.7,4.0,3.8,4.0,3.2,3.8,13.0,6,Ant of Material Cult ANT457H1-S-LEC0101
ANT,ARTSC,ANT476H1,Body Self & Sociality,Boddy,Janice,Winter,2018,4.4,4.2,4.4,4.6,4.2,4.2,4.4,3.4,4.8,13.0,5,Body Self & Sociality ANT476H1-S-LEC0101
ANT,ARTSC,ARH312Y1,Archaeological Lab,Patton,Anna,Winter,2018,4.4,4.6,4.8,4.2,4.4,4.4,4.8,3.2,4.4,14.0,5,Archaeological Lab ARH312Y1-Y-LEC0101
ANT,ARTSC,ANT388H1,Anthro & Indigenous Peoples,Maxwell,Krista,Fall,2017,4.3,4.5,4.1,3.5,3.4,3.5,4.6,3.9,3.6,11.0,8,Anthro & Indigenous Peoples ANT388H1-F-LEC0101
ANT,ARTSC,ANT348H1,Medical Anthro: Socio-Cultural,Maxwell,Krista,Fall,2017,3.9,4.0,3.7,3.3,3.4,3.4,3.4,3.7,3.2,46.0,32,Medical Anthro: Socio-Cultural ANT348H1-F-LEC0101
ANT,ARTSC,ANT475H1,Reading Ethnography,Boddy,Janice,Fall,2017,4.6,4.6,5.0,4.8,4.8,4.8,5.0,3.6,4.8,10.0,5,Reading Ethnography ANT475H1-F-LEC0101
ANT,ARTSC,ANT430H1,Primate Cons Biology,Bolt,Laura,Fall,2017,4.7,4.6,4.8,4.8,4.7,4.5,4.7,3.3,4.6,14.0,13,Primate Cons Biology ANT430H1-F-LEC0101
ANT,ARTSC,ANT200Y1,Intro Archaeology,Chazan,Michael,Fall,2017,3.8,4.1,3.8,3.6,3.8,3.5,3.9,3.1,3.6,132.0,41,Intro Archaeology ANT200Y1-Y-LEC0101
ANT,ARTSC,ARH305H1,Archaeological Inter,Coupland,Gary,Fall,2017,3.8,4.0,4.5,4.2,4.0,4.0,4.2,2.8,3.8,22.0,6,Archaeological Inter ARH305H1-F-LEC0101
ANT,ARTSC,ANT253H1,Language & Society,Danesi,Marcel,Fall,2017,3.9,4.0,4.2,3.9,3.9,3.9,4.4,2.6,4.1,426.0,129,Language & Society ANT253H1-F-LEC0101
ANT,ARTSC,ANT438H1,Emerging Schol Evo,Eastham,Laura,Fall,2017,4.7,4.7,4.9,4.5,4.7,4.6,4.9,3.1,4.8,17.0,15,Emerging Schol Evo ANT438H1-F-LEC5101
ANT,ARTSC,ARH309H1,Arch Ethics & Public,Jennings,Justin,Fall,2017,4.7,4.7,4.8,4.3,4.3,4.5,4.8,2.7,4.5,29.0,8,Arch Ethics & Public ARH309H1-F-LEC0101
ANT,ARTSC,ANT207H1,Core Concepts Social,Li,Tania,Fall,2017,3.8,4.0,4.0,3.7,3.8,3.5,4.1,3.4,3.4,146.0,75,Core Concepts Social ANT207H1-F-LEC0101
ANT,ARTSC,ANT329H1,Lang Power Structure,Luong,Hy,Fall,2017,4.6,4.4,4.4,4.1,4.2,4.1,4.4,2.9,4.3,49.0,16,Lang Power Structure ANT329H1-F-LEC0101
ANT,ARTSC,ANT335Y1,Human Evolution,Nargolwalla,Mariam,Fall,2017,4.4,4.4,4.7,4.1,4.0,4.2,4.6,3.2,4.2,35.0,32,Human Evolution ANT335Y1-Y-LEC0101
ANT,ARTSC,ANT317H1,Arch East N Amer,Patton,Anna,Fall,2017,4.2,4.2,5.0,4.0,3.7,4.0,5.0,3.0,4.2,19.0,6,Arch East N Amer ANT317H1-F-LEC5101
ANT,ARTSC,ANT480H1,Special Topics,Sammons,Edward,Fall,2017,4.4,4.4,4.1,4.2,4.4,4.0,4.2,3.3,3.9,14.0,9,Special Topics ANT480H1-F-LEC0101
ANT,ARTSC,ANT378H1,Gift Money Finance,Song,Jesook,Fall,2017,3.4,3.5,3.1,3.1,3.4,3.0,3.6,2.9,2.9,29.0,8,Gift Money Finance ANT378H1-F-LEC0101
ANT,ARTSC,ANT318H1,Preindustrial City,Swenson,Edward,Fall,2017,3.6,3.6,3.6,3.6,3.4,3.2,3.3,3.8,3.2,28.0,9,Preindustrial City ANT318H1-F-LEC0101
ANT,ARTSC,ANT204H1,Ant of Contemp World,Song,Jesook,Winter,2016,2.7,2.8,2.1,2.8,2.9,2.4,2.5,2.3,2.4,292.0,94,Ant of Contemp World ANT204H1-S-LEC0101
ANT,ARTSC,ANT457H1,Ant of Material Cult,Forni,Silvia,Winter,2016,4.6,4.6,4.9,4.8,4.8,4.8,5.0,3.2,4.6,18.0,11,Ant of Material Cult ANT457H1-S-LEC0101
ANT,ARTSC,ANT356H1,Ant of Religion,Gillison,Gillian,Winter,2016,3.8,3.4,2.9,3.0,3.4,3.0,3.3,3.4,2.9,52.0,16,Ant of Religion ANT356H1-S-LEC0101
ANT,ARTSC,ANT322H1,Ant of Youth Culture,Danesi,Marcel,Winter,2016,3.9,4.0,4.4,3.5,3.5,3.9,4.6,2.5,4.4,206.0,60,Ant of Youth Culture ANT322H1-S-LEC0101
ANT,ARTSC,ANT366H1,Anthropology of Activism,Solana,Vivian,Winter,2016,3.8,3.8,3.8,3.9,4.0,3.5,4.3,3.1,3.7,62.0,32,Anthropology of Activism ANT366H1-S-LEC5101
ANT,ARTSC,ANT319Y1,Arch of North America,Patton,Anna,Winter,2016,4.9,4.9,4.9,4.7,4.7,4.8,4.9,3.2,4.9,24.0,13,Arch of North America ANT319Y1-Y-LEC0101
ANT,ARTSC,ARH312Y1,Archaeological Lab,Patton,Anna,Winter,2016,3.4,3.5,4.3,3.5,3.5,3.2,4.1,3.2,3.3,23.0,13,Archaeological Lab ARH312Y1-Y-LEC0101
ANT,ARTSC,ARH309H1,Arch Ethics & Public,Jennings,Justin,Winter,2016,4.6,4.7,4.7,4.2,4.1,4.6,4.6,3.0,4.4,52.0,24,Arch Ethics & Public ARH309H1-S-LEC0101
ANT,ARTSC,ANT372H1,Cultural Property,Krmpotich,Cara,Winter,2016,4.4,4.7,4.8,4.4,4.4,4.3,4.7,2.9,4.6,53.0,21,Cultural Property ANT372H1-S-LEC0101
ANT,ARTSC,ANT327H1,Diversity,McElhinny,Bonnie,Winter,2016,3.9,3.9,3.3,3.5,3.6,3.4,3.8,4.2,3.6,44.0,21,Diversity ANT327H1-S-LEC0101
ANT,ARTSC,ARH494H1,Emerging Schol Arch,Spence Morrow,Giles,Winter,2016,5.0,4.8,5.0,5.0,5.0,4.8,5.0,3.5,4.8,6.0,6,Emerging Schol Arch ARH494H1-S-LEC0101
ANT,ARTSC,ANT336H1,Evol Anth Theory,Viola,T.,Winter,2016,4.5,4.2,4.4,4.1,3.8,4.1,4.7,3.7,4.3,57.0,19,Evol Anth Theory ANT336H1-S-LEC0101
ANT,ARTSC,ANT415Y1,Faunal Archaeo - Osteo,Friesen,T,Winter,2016,5.0,5.0,4.8,4.8,4.7,5.0,4.8,4.3,4.5,10.0,6,Faunal Archaeo - Osteo ANT415Y1-Y-LEC0101
ANT,ARTSC,ANT378H1,Gift Money Finance,Song,Jesook,Winter,2016,3.5,3.3,3.3,3.3,3.2,2.9,3.6,3.0,3.1,32.0,17,Gift Money Finance ANT378H1-S-LEC0101
ANT,ARTSC,ANT100Y1,Intro Anthropology,Lehman,Shawn,Summer,2016,3.5,3.5,3.7,3.3,3.3,3.2,,,,61.0,15,Intro Anthropology ANT100Y1-Y-LEC5101 (A)
ANT,ARTSC,ANT100Y1,Intro Anthropology,Clark,Dylan,Summer,2016,4.1,4.2,4.2,3.6,3.7,3.8,4.2,3.5,3.9,57.0,17,Intro Anthropology ANT100Y1-Y-LEC5101 (B)
ANT,ARTSC,ANT200Y1,Intro Archaeology,Gregg,Michael,Summer,2016,4.9,4.8,4.8,4.7,4.8,4.6,4.7,3.3,4.8,24.0,11,Intro Archaeology ANT200Y1-Y-LEC5101
ANT,ARTSC,ANT204H1,Ant of Contemp World,Yang,Sun,Summer,2016,3.7,3.3,3.5,3.3,3.8,3.2,,,,55.0,18,Ant of Contemp World ANT204H1-F-LEC0101
ANT,ARTSC,ANT207H1,Core Concepts Social,Taylor,Jessica,Summer,2016,4.1,4.3,4.6,4.1,4.0,4.2,4.4,3.3,4.1,52.0,16,Core Concepts Social ANT207H1-S-LEC0101
ANT,ARTSC,ANT253H1,Language & Society,Danesi,Marcel,Summer,2016,4.2,4.2,4.4,4.3,4.4,4.2,4.7,2.6,4.7,109.0,36,Language & Society ANT253H1-S-LEC0101
ANT,ARTSC,ANT343H1,Social Ant of Gender,Nixon,Kevin,Summer,2016,3.9,4.1,4.1,4.0,3.9,3.8,4.2,3.7,3.9,25.0,9,Social Ant of Gender ANT343H1-S-LEC5101
ANT,ARTSC,ANT346H1,Anthropology of Food,Clark,Dylan,Summer,2016,4.6,4.5,4.1,4.0,3.9,4.0,,,,34.0,11,Anthropology of Food ANT346H1-F-LEC5101
ANT,ARTSC,ANT348H1,Medical Anthro: Socio-Cultural,Maxwell,Krista,Summer,2016,4.3,4.3,4.4,4.4,4.4,4.2,4.5,3.5,4.2,14.0,11,Medical Anthro: Socio-Cultural ANT348H1-S-LEC0101
ANT,ARTSC,ANT351H1,Contested Environ,Gonzalez,Columba,Summer,2016,3.7,3.3,3.3,3.0,3.4,2.8,,,,14.0,12,Contested Environ ANT351H1-F-LEC0101
ANT,ARTSC,ARH306Y1,Arch Field Methods,Duffy,Paul,Summer,2016,4.1,4.5,4.8,3.6,3.7,4.0,,,,21.0,11,Arch Field Methods ARH306Y1-F-LEC0101
ANT,ARTSC,ARH306Y1,Arch Field Methods,Stewart,Sarah,Summer,2016,4.1,4.5,3.9,3.6,3.7,4.0,,,,21.0,11,Arch Field Methods ARH306Y1-F-LEC0101
ANT,ARTSC,ANT411H1,Adv Archaeol Theory,Hubert,Erell,Winter,2016,4.1,4.3,4.2,4.1,4.1,3.9,4.0,3.8,3.3,18.0,15,Adv Archaeol Theory ANT411H1-S-LEC0101
ANT,ARTSC,ANT200Y1,Intro Archaeology,Chazan,Michael,Fall,2016,4.1,4.1,4.1,4.1,4.1,3.8,4.1,3.2,3.9,132.0,42,Intro Archaeology ANT200Y1-Y-LEC0101
ANT,ARTSC,ANT203Y1,Nature of Humans,Gamble,Julia,Fall,2016,4.0,4.1,4.2,3.8,3.8,3.9,4.1,3.0,3.9,150.0,50,Nature of Humans ANT203Y1-Y-LEC5101
ANT,ARTSC,ANT207H1,Core Concepts Social,Li,Tania,Fall,2016,3.8,3.9,4.0,3.8,3.8,3.6,4.0,3.3,3.4,168.0,50,Core Concepts Social ANT207H1-F-LEC0101
ANT,ARTSC,ANT208H1,Med Ant Evol Perspec,Gamble,Julia,Fall,2016,3.6,3.8,3.5,3.3,3.3,3.3,3.8,3.0,3.6,330.0,114,Med Ant Evol Perspec ANT208H1-F-LEC0101
ANT,ARTSC,ANT316H1,Anc Cult MesoAmerica,Swenson,Edward,Fall,2016,4.1,4.5,4.4,4.7,4.7,3.9,4.7,3.3,4.2,23.0,15,Anc Cult MesoAmerica ANT316H1-F-LEC0101
ANT,ARTSC,ANT317H1,Arch East N Amer,Patton,Anna,Fall,2016,4.2,4.4,5.0,4.7,4.7,4.0,4.3,3.2,4.3,17.0,6,Arch East N Amer ANT317H1-F-LEC5101
ANT,ARTSC,ANT322H1,Ant of Youth Culture,Danesi,Marcel,Fall,2016,3.7,3.7,4.0,3.4,3.3,3.9,4.4,2.3,4.1,100.0,24,Ant of Youth Culture ANT322H1-F-LEC0101
ANT,ARTSC,ANT329H1,Lang Power Structure,Luong,Hy,Fall,2016,4.4,4.4,4.3,4.2,4.1,4.0,4.6,2.7,4.1,42.0,14,Lang Power Structure ANT329H1-F-LEC0101
ANT,ARTSC,ANT334H1,Human Skeletal Biol,Beresheim,Amy,Fall,2016,4.1,4.1,3.7,3.5,3.6,3.1,4.0,4.6,2.9,25.0,18,Human Skeletal Biol ANT334H1-F-LEC0101
ANT,ARTSC,ANT335Y1,Human Evolution,Begun,David,Fall,2016,4.3,4.1,3.6,3.4,3.0,3.4,3.9,3.5,3.1,18.0,8,Human Evolution ANT335Y1-F-LEC0101
ANT,ARTSC,ANT338H1,Molecular Anthro & Human Evo,Viola,T.,Fall,2016,3.8,3.6,3.8,3.1,3.3,2.8,4.4,3.5,3.1,30.0,21,Molecular Anthro & Human Evo ANT338H1-F-LEC0101
ANT,ARTSC,ANT343H1,Social Ant of Gender,Dave,Prakruti,Fall,2016,4.8,4.7,4.7,4.2,4.2,4.3,4.7,4.1,4.3,55.0,27,Social Ant of Gender ANT343H1-F-LEC0101
ANT,ARTSC,ANT370H1,Intro Soc Ant Theory,Bright,Kristin,Fall,2016,4.4,4.4,4.6,4.1,4.3,4.2,4.7,3.5,4.2,40.0,21,Intro Soc Ant Theory ANT370H1-F-LEC0101
ANT,ARTSC,ANT374H1,Rethink Development,Li,Tania,Fall,2016,4.5,4.6,4.6,4.3,4.1,4.4,4.4,3.5,4.2,41.0,19,Rethink Development ANT374H1-F-LEC0101
ANT,ARTSC,ANT378H1,Gift Money Finance,Song,Jesook,Fall,2016,3.6,3.9,3.9,4.1,4.0,3.7,3.8,2.9,3.9,24.0,8,Gift Money Finance ANT378H1-F-LEC0101
ANT,ARTSC,ANT384H1,Spec Top: Soc Cult & Lang,Maxwell,Krista,Fall,2016,4.5,4.8,4.1,4.1,4.0,4.2,4.3,3.9,4.0,15.0,10,Spec Top: Soc Cult & Lang ANT384H1-F-LEC0101
ANT,ARTSC,ANT416H1,Arch Ritual & Identity,Swenson,Edward,Fall,2016,4.3,4.7,4.7,4.5,4.5,4.4,4.7,3.8,4.0,23.0,12,Arch Ritual & Identity ANT416H1-F-LEC0101
ANT,ARTSC,ANT441H1,Love Sex & Marriage,Bright,Kristin,Fall,2016,4.9,4.9,4.6,4.9,4.8,4.8,5.0,3.6,4.6,22.0,13,Love Sex & Marriage ANT441H1-F-LEC0101
ANT,ARTSC,ANT452H1,Anthr and Human Rights,Levin,Michael,Fall,2016,4.6,5.0,4.2,4.6,4.8,4.3,4.2,3.4,4.6,15.0,5,Anthr and Human Rights ANT452H1-F-LEC0101
ANT,ARTSC,ANT458H1,Settler-Colonialism,Maxwell,Krista,Fall,2016,5.0,5.0,4.6,4.8,5.0,4.8,4.8,4.0,5.0,6.0,5,Settler-Colonialism ANT458H1-F-LEC0101
ANT,ARTSC,ANT476H1,Body Self & Sociality,Boddy,Janice,Fall,2016,5.0,4.8,4.8,4.3,4.0,4.7,4.5,3.8,4.5,13.0,6,Body Self & Sociality ANT476H1-F-LEC0101
ANT,ARTSC,ANT481H1,Spec Top: Bio Anthro,Gamble,Julia,Fall,2016,3.8,4.4,4.5,4.2,4.3,3.7,4.3,3.8,3.7,16.0,12,Spec Top: Bio Anthro ANT481H1-F-LEC0101
ANT,ARTSC,ANT484H1,Spec Topic Soc Cult,Majumder,Atreyee,Fall,2016,4.3,4.3,4.4,3.7,3.7,3.5,4.3,3.9,3.7,14.0,7,Spec Topic Soc Cult ANT484H1-F-LEC0101
ANT,ARTSC,ARH305H1,Archaeological Inter,Coupland,Gary,Fall,2016,4.3,4.5,4.5,4.3,4.1,4.1,4.3,3.4,3.9,31.0,9,Archaeological Inter ARH305H1-F-LEC0101
ANT,ARTSC,ARH309H1,Arch Ethics & Public,Jennings,Justin,Fall,2016,4.5,4.6,4.6,4.2,4.3,4.1,4.5,2.7,4.1,29.0,11,Arch Ethics & Public ARH309H1-F-LEC0101
ANT,ARTSC,ANT100Y1,Intro Anthropology,Friesen,T,Winter,2017,3.5,4.1,3.6,3.1,3.1,3.5,3.8,2.2,3.3,49.0,10,Intro Anthropology ANT100Y1-Y-LEC2501
ANT,ARTSC,ANT100Y1,Intro Anthropology,Kalmar,Ivan,Winter,2017,3.5,4.1,3.8,3.1,3.1,3.5,4.0,2.2,3.3,49.0,10,Intro Anthropology ANT100Y1-Y-LEC2501
ANT,ARTSC,ANT100Y1,Intro Anthropology,Lehman,Shawn,Winter,2017,3.5,4.1,3.8,3.1,3.1,3.5,4.0,2.2,3.3,49.0,10,Intro Anthropology ANT100Y1-Y-LEC2501
ANT,ARTSC,ANT100Y1,Intro Anthropology,Friesen,T,Winter,2017,3.67,3.91,3.53,3.51,3.64,3.44,3.37,2.89,3.58,806.0,309,Intro Anthropology ANT100Y1-Y-LEC5101
ANT,ARTSC,ANT100Y1,Intro Anthropology,Kalmar,Ivan,Winter,2017,3.67,3.91,4.2,3.51,3.64,3.44,4.23,2.89,3.58,806.0,309,Intro Anthropology ANT100Y1-Y-LEC5101
ANT,ARTSC,ANT100Y1,Intro Anthropology,Lehman,Shawn,Winter,2017,3.67,3.91,4.21,3.51,3.64,3.44,4.32,2.89,3.58,806.0,309,Intro Anthropology ANT100Y1-Y-LEC5101
